problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID005_M015_J020; manne; 15; 20; True; 1093.855753558014; 1464.0000000000002; 0.25283076942756894; 6000; 3151; 1675; 155262803; 17700; time limit exceeded; 7200.0144209861755; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 1228.63298977248; 1471.0; 0.16476343319340828; 17980; 3151; 1715; 107482365; 52760; time limit exceeded; 7200.10143995285; True;  
ID005_M015_J020; liao; 15; 20; True; 1062.7413300693584; 1546.0000000000018; 0.3125864617921162; 3150; 6001; 4380; 134158702; 12000; time limit exceeded; 7200.035916090012; True;  
ID005_M015_J020; liao_desig; 15; 20; True; 1195.3668311351628; 1489.0000000000016; 0.197201590909885; 15150; 6001; 4430; 109825950; 47100; time limit exceeded; 7200.093106031418; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.05200004577636719; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1141.3457533407188; nan; 17980; 3151; 1867; 7623; 52760; optimal; 0.23797988891601562; False;  
ID005_M015_J020; liao; 15; 20; False; nan; 932.0; nan; 3150; 6001; 3132; 443; 12000; optimal; 0.01640009880065918; False;  
ID005_M015_J020; liao_desig; 15; 20; False; nan; 1141.3457533407188; nan; 15150; 6001; 4654; 23; 47100; optimal; 0.5633301734924316; False;  
ID006_M015_J020; manne; 15; 20; True; 1159.9999999999536; 1457.0; 0.2038435140700247; 6000; 3151; 1715; 129087256; 17700; time limit exceeded; 7200.014513015747; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 1391.9154124620713; 1486.999999999; 0.06394390553933169; 17980; 3151; 1693; 62283849; 52760; time limit exceeded; 7200.02407002449; True;  
ID006_M015_J020; liao; 15; 20; True; 1080.2216462782508; 1475.0000000000039; 0.26764634150625444; 3150; 6001; 4414; 131090605; 12000; time limit exceeded; 7200.034229040146; True;  
ID006_M015_J020; liao_desig; 15; 20; True; 1247.186045599537; 1553.0; 0.1969181934323524; 15150; 6001; 4462; 83391732; 47100; time limit exceeded; 7200.049717903137; True;  
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.05550694465637207; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1106.4980710952977; nan; 17980; 3151; 2100; 29; 52760; optimal; 0.2876558303833008; False;  
ID006_M015_J020; liao; 15; 20; False; nan; 979.0; nan; 3150; 6001; 3134; 446; 12000; optimal; 0.015985965728759766; False;  
ID006_M015_J020; liao_desig; 15; 20; False; nan; 1106.4980710952975; nan; 15150; 6001; 4818; 24; 47100; optimal; 0.6001088619232178; False;  
ID007_M015_J020; manne; 15; 20; True; 1088.124641408423; 1469.9999999989966; 0.2597791555039512; 6000; 3151; 1749; 163321850; 17700; time limit exceeded; 7200.014778137207; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 1118.7525468851518; 1529.0; 0.2683109569096281; 17980; 3151; 1816; 68640213; 52760; time limit exceeded; 7200.020004034042; True;  
ID007_M015_J020; liao; 15; 20; True; 964.676103878717; 1560.0000000000052; 0.3816178821290052; 3150; 6001; 4343; 158069289; 12000; time limit exceeded; 7200.024141073227; True;  
ID007_M015_J020; liao_desig; 15; 20; True; 1075.4507148599578; 1581.0; 0.31976551874763454; 15150; 6001; 4346; 101642050; 47100; time limit exceeded; 7200.035806894302; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.09766697883605957; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1027.4873672272474; nan; 17980; 3151; 2124; 31; 52760; optimal; 0.2841041088104248; False;  
ID007_M015_J020; liao; 15; 20; False; nan; 900.0; nan; 3150; 6001; 3130; 458; 12000; optimal; 0.017739057540893555; False;  
ID007_M015_J020; liao_desig; 15; 20; False; nan; 1027.4873672272474; nan; 15150; 6001; 4786; 23; 47100; optimal; 0.6352870464324951; False;  
ID008_M015_J020; manne; 15; 20; True; 1056.999999999999; 1370.9999999999993; 0.22902990517868524; 6000; 3151; 1686; 152166885; 17700; time limit exceeded; 7200.013736963272; True;  
